date,description,debit,credit,balance,transaction_type,reference
02/03/2026,ATM CASH WITHDRAWAL,3716.5,0.0,87399.97,DEBIT,TXN000032
03/03/2026,UPI GROCERY BIGBASKET,3708.5,0.0,83691.47,DEBIT,TXN000033
05/03/2026,UBER RIDE,605.29,0.0,83086.18,DEBIT,TXN000034
07/03/2026,RENT PAYMENT,20589.14,0.0,62497.04,DEBIT,TXN000035
11/03/2026,UPI GROCERY BIGBASKET,946.48,0.0,61550.56,DEBIT,TXN000036
12/03/2026,METRO CARD RECHARGE,767.78,0.0,60782.78,DEBIT,TXN000037
14/03/2026,FREELANCE CREDIT,0.0,15386.23,76169.01,CREDIT,TXN000038
17/03/2026,MOBILE BILL PAYMENT,1143.29,0.0,75025.72,DEBIT,TXN000039
20/03/2026,UPI RESTAURANT DINNER,991.12,0.0,74034.6,DEBIT,TXN000040
21/03/2026,UPI GROCERY BIGBASKET,2475.6,0.0,71559.0,DEBIT,TXN000041
23/03/2026,SALARY CREDIT,0.0,59474.55,131033.55,CREDIT,TXN000042
25/03/2026,PHARMACY MEDICAL,770.64,0.0,130262.91,DEBIT,TXN000043
26/03/2026,AMAZON SHOPPING ORDER,4000.56,0.0,126262.35,DEBIT,TXN000044
27/03/2026,ATM CASH WITHDRAWAL,2797.76,0.0,123464.59,DEBIT,TXN000045
01/04/2026,SALARY CREDIT,0.0,53615.23,73358.23,CREDIT,TXN000046
05/04/2026,INTERNET BILL PAYMENT,1497.28,0.0,71860.95,DEBIT,TXN000047
06/04/2026,MOBILE BILL PAYMENT,1030.75,0.0,70830.2,DEBIT,TXN000048
07/04/2026,CASHBACK CREDIT,0.0,290.6,71120.8,CREDIT,TXN000049
09/04/2026,FREELANCE CREDIT,0.0,16565.81,87686.61,CREDIT,TXN000050
11/04/2026,PHARMACY MEDICAL,409.65,0.0,87276.96,DEBIT,TXN000051
13/04/2026,RENT PAYMENT,19617.85,0.0,67659.11,DEBIT,TXN000052
14/04/2026,SALARY CREDIT,0.0,50717.35,118376.46,CREDIT,TXN000053
16/04/2026,NETFLIX SUBSCRIPTION,320.29,0.0,118056.17,DEBIT,TXN000054
18/04/2026,UPI GROCERY BIGBASKET,1982.79,0.0,116073.38,DEBIT,TXN000055
19/04/2026,UPI RESTAURANT DINNER,1368.4,0.0,114704.98,DEBIT,TXN000056
23/04/2026,INTERNET BILL PAYMENT,709.13,0.0,113995.85,DEBIT,TXN000057
25/04/2026,PHARMACY MEDICAL,358.49,0.0,113637.36,DEBIT,TXN000058
28/04/2026,MOBILE BILL PAYMENT,810.12,0.0,112827.24,DEBIT,TXN000059
30/04/2026,INTERNET BILL PAYMENT,1407.32,0.0,111419.92,DEBIT,TXN000060
01/05/2026,SALARY CREDIT,0.0,70805.28,92903.28,CREDIT,TXN000061
02/05/2026,SALARY CREDIT,0.0,91390.04,184293.32,CREDIT,TXN000062
03/05/2026,METRO CARD RECHARGE,608.87,0.0,183684.45,DEBIT,TXN000063
04/05/2026,REFUND CREDIT,0.0,1248.49,184932.94,CREDIT,TXN000064
08/05/2026,REFUND CREDIT,0.0,2634.94,187567.88,CREDIT,TXN000065
10/05/2026,REFUND CREDIT,0.0,424.7,187992.58,CREDIT,TXN000066
13/05/2026,CASHBACK CREDIT,0.0,89.9,188082.48,CREDIT,TXN000067
14/05/2026,SALARY CREDIT,0.0,55852.84,243935.32,CREDIT,TXN000068
15/05/2026,NETFLIX SUBSCRIPTION,275.41,0.0,243659.91,DEBIT,TXN000069
19/05/2026,SALARY CREDIT,0.0,81271.89,324931.8,CREDIT,TXN000070
20/05/2026,REFUND CREDIT,0.0,2085.8,327017.6,CREDIT,TXN000071
23/05/2026,NETFLIX SUBSCRIPTION,426.57,0.0,326591.03,DEBIT,TXN000072
24/05/2026,INTERNET BILL PAYMENT,1015.39,0.0,325575.64,DEBIT,TXN000073
25/05/2026,BOOKMYSHOW MOVIE,1072.71,0.0,324502.93,DEBIT,TXN000074
28/05/2026,SALARY CREDIT,0.0,83617.04,408119.97,CREDIT,TXN000075
01/06/2026,SALARY CREDIT,0.0,67988.0,93725.0,CREDIT,TXN000076
02/06/2026,NETFLIX SUBSCRIPTION,329.36,0.0,93395.64,DEBIT,TXN000077
03/06/2026,SALARY CREDIT,0.0,54165.97,147561.61,CREDIT,TXN000078
04/06/2026,FREELANCE CREDIT,0.0,18868.37,166429.98,CREDIT,TXN000079
05/06/2026,INTEREST CREDIT,0.0,426.06,166856.04,CREDIT,TXN000080
08/06/2026,INTEREST CREDIT,0.0,245.56,167101.6,CREDIT,TXN000081
09/06/2026,CASHBACK CREDIT,0.0,116.31,167217.91,CREDIT,TXN000082
14/06/2026,UPI SWIGGY FOOD,598.57,0.0,166619.34,DEBIT,TXN000083
16/06/2026,RENT PAYMENT,25115.78,0.0,141503.56,DEBIT,TXN000084
20/06/2026,MOBILE BILL PAYMENT,899.27,0.0,140604.29,DEBIT,TXN000085
21/06/2026,ELECTRICITY BILL PAYMENT,3459.81,0.0,137144.48,DEBIT,TXN000086
23/06/2026,PHARMACY MEDICAL,1272.7,0.0,135871.78,DEBIT,TXN000087
24/06/2026,MOBILE BILL PAYMENT,533.3,0.0,135338.48,DEBIT,TXN000088
28/06/2026,PHARMACY MEDICAL,1298.96,0.0,134039.52,DEBIT,TXN000089
30/06/2026,UBER RIDE,300.44,0.0,133739.08,DEBIT,TXN000090
01/07/2026,SALARY CREDIT,0.0,72950.18,89680.18,CREDIT,TXN000091
03/07/2026,INTEREST CREDIT,0.0,169.01,89849.19,CREDIT,TXN000092
04/07/2026,FREELANCE CREDIT,0.0,5876.12,95725.31,CREDIT,TXN000093
06/07/2026,AMAZON SHOPPING ORDER,3394.76,0.0,92330.55,DEBIT,TXN000094
08/07/2026,FREELANCE CREDIT,0.0,18679.06,111009.61,CREDIT,TXN000095
09/07/2026,ATM CASH WITHDRAWAL,3794.25,0.0,107215.36,DEBIT,TXN000096
10/07/2026,FUEL PAYMENT,3221.1,0.0,103994.26,DEBIT,TXN000097
12/07/2026,BOOKMYSHOW MOVIE,195.64,0.0,103798.62,DEBIT,TXN000098
14/07/2026,SALARY CREDIT,0.0,80862.69,184661.31,CREDIT,TXN000099
15/07/2026,FREELANCE CREDIT,0.0,16825.65,201486.96,CREDIT,TXN000100
18/07/2026,MOBILE BILL PAYMENT,1222.61,0.0,200264.35,DEBIT,TXN000101
19/07/2026,PHARMACY MEDICAL,801.97,0.0,199462.38,DEBIT,TXN000102
28/07/2026,ATM CASH WITHDRAWAL,2796.3,0.0,196666.08,DEBIT,TXN000103
29/07/2026,NETFLIX SUBSCRIPTION,728.69,0.0,195937.39,DEBIT,TXN000104
31/07/2026,PHARMACY MEDICAL,2163.57,0.0,193773.82,DEBIT,TXN000105
01/08/2026,SALARY CREDIT,0.0,71802.35,99186.35,CREDIT,TXN000106
02/08/2026,ELECTRICITY BILL PAYMENT,1752.04,0.0,97434.31,DEBIT,TXN000107
03/08/2026,UBER RIDE,419.58,0.0,97014.73,DEBIT,TXN000108
06/08/2026,ATM CASH WITHDRAWAL,2687.82,0.0,94326.91,DEBIT,TXN000109
08/08/2026,REFUND CREDIT,0.0,2906.22,97233.13,CREDIT,TXN000110
09/08/2026,INTERNET BILL PAYMENT,1152.99,0.0,96080.14,DEBIT,TXN000111
10/08/2026,INTEREST CREDIT,0.0,209.71,96289.85,CREDIT,TXN000112
11/08/2026,REFUND CREDIT,0.0,715.33,97005.18,CREDIT,TXN000113
12/08/2026,SALARY CREDIT,0.0,71053.55,168058.73,CREDIT,TXN000114
13/08/2026,SALARY CREDIT,0.0,89588.28,257647.01,CREDIT,TXN000115
15/08/2026,PHARMACY MEDICAL,262.45,0.0,257384.56,DEBIT,TXN000116
19/08/2026,ATM CASH WITHDRAWAL,2157.17,0.0,255227.39,DEBIT,TXN000117
20/08/2026,UPI SWIGGY FOOD,368.73,0.0,254858.66,DEBIT,TXN000118
27/08/2026,UPI SWIGGY FOOD,640.13,0.0,254218.53,DEBIT,TXN000119
31/08/2026,AMAZON SHOPPING ORDER,4959.39,0.0,249259.14,DEBIT,TXN000120
01/09/2026,SALARY CREDIT,0.0,64684.21,98287.21,CREDIT,TXN000121
02/09/2026,UPI RESTAURANT DINNER,1157.92,0.0,97129.29,DEBIT,TXN000122
07/09/2026,AMAZON SHOPPING ORDER,3008.6,0.0,94120.69,DEBIT,TXN000123
10/09/2026,INTEREST CREDIT,0.0,541.32,94662.01,CREDIT,TXN000124
11/09/2026,MOBILE BILL PAYMENT,812.1,0.0,93849.91,DEBIT,TXN000125
15/09/2026,RENT PAYMENT,18258.57,0.0,75591.34,DEBIT,TXN000126
18/09/2026,FUEL PAYMENT,741.85,0.0,74849.49,DEBIT,TXN000127
19/09/2026,SALARY CREDIT,0.0,52114.02,126963.51,CREDIT,TXN000128
24/09/2026,NETFLIX SUBSCRIPTION,484.6,0.0,126478.91,DEBIT,TXN000129
25/09/2026,RENT PAYMENT,17713.84,0.0,108765.07,DEBIT,TXN000130
26/09/2026,MOBILE BILL PAYMENT,979.42,0.0,107785.65,DEBIT,TXN000131
27/09/2026,FUEL PAYMENT,3421.52,0.0,104364.13,DEBIT,TXN000132
28/09/2026,SALARY CREDIT,0.0,58109.73,162473.86,CREDIT,TXN000133
29/09/2026,CASHBACK CREDIT,0.0,192.65,162666.51,CREDIT,TXN000134
30/09/2026,UPI RESTAURANT DINNER,1373.98,0.0,161292.53,DEBIT,TXN000135
01/10/2026,SALARY CREDIT,0.0,75382.1,96569.1,CREDIT,TXN000136
02/10/2026,FUEL PAYMENT,1667.47,0.0,94901.63,DEBIT,TXN000137
03/10/2026,INTEREST CREDIT,0.0,323.44,95225.07,CREDIT,TXN000138
04/10/2026,SALARY CREDIT,0.0,70034.89,165259.96,CREDIT,TXN000139
06/10/2026,SALARY CREDIT,0.0,52298.17,217558.13,CREDIT,TXN000140
07/10/2026,UPI RESTAURANT DINNER,909.8,0.0,216648.33,DEBIT,TXN000141
08/10/2026,CASHBACK CREDIT,0.0,169.01,216817.34,CREDIT,TXN000142
09/10/2026,SALARY CREDIT,0.0,75901.41,292718.75,CREDIT,TXN000143
11/10/2026,REFUND CREDIT,0.0,1573.69,294292.44,CREDIT,TXN000144
12/10/2026,MOBILE BILL PAYMENT,787.66,0.0,293504.78,DEBIT,TXN000145
14/10/2026,ATM CASH WITHDRAWAL,2900.36,0.0,290604.42,DEBIT,TXN000146
20/10/2026,INTEREST CREDIT,0.0,542.97,291147.39,CREDIT,TXN000147
23/10/2026,UPI RESTAURANT DINNER,811.76,0.0,290335.63,DEBIT,TXN000148
28/10/2026,PHARMACY MEDICAL,1486.11,0.0,288849.52,DEBIT,TXN000149
31/10/2026,INTEREST CREDIT,0.0,311.17,289160.69,CREDIT,TXN000150
01/11/2026,SALARY CREDIT,0.0,52135.08,67133.08,CREDIT,TXN000151
04/11/2026,UPI RESTAURANT DINNER,927.78,0.0,66205.3,DEBIT,TXN000152
05/11/2026,AMAZON SHOPPING ORDER,4311.42,0.0,61893.88,DEBIT,TXN000153
06/11/2026,SALARY CREDIT,0.0,60841.28,122735.16,CREDIT,TXN000154
07/11/2026,UPI RESTAURANT DINNER,1428.54,0.0,121306.62,DEBIT,TXN000155
10/11/2026,UBER RIDE,463.18,0.0,120843.44,DEBIT,TXN000156
11/11/2026,MOBILE BILL PAYMENT,551.55,0.0,120291.89,DEBIT,TXN000157
13/11/2026,METRO CARD RECHARGE,693.12,0.0,119598.77,DEBIT,TXN000158
15/11/2026,MOBILE BILL PAYMENT,647.37,0.0,118951.4,DEBIT,TXN000159
16/11/2026,PHARMACY MEDICAL,400.0,0.0,118551.4,DEBIT,TXN000160
18/11/2026,UBER RIDE,552.54,0.0,117998.86,DEBIT,TXN000161
19/11/2026,AMAZON SHOPPING ORDER,1337.52,0.0,116661.34,DEBIT,TXN000162
21/11/2026,METRO CARD RECHARGE,206.77,0.0,116454.57,DEBIT,TXN000163
26/11/2026,FUEL PAYMENT,2360.58,0.0,114093.99,DEBIT,TXN000164
29/11/2026,INTEREST CREDIT,0.0,353.32,114447.31,CREDIT,TXN000165
01/12/2026,SALARY CREDIT,0.0,73202.36,99312.36,CREDIT,TXN000166
06/12/2026,RENT PAYMENT,22329.02,0.0,76983.34,DEBIT,TXN000167
07/12/2026,FREELANCE CREDIT,0.0,10540.07,87523.41,CREDIT,TXN000168
08/12/2026,PHARMACY MEDICAL,1016.22,0.0,86507.19,DEBIT,TXN000169
11/12/2026,AMAZON SHOPPING ORDER,1358.99,0.0,85148.2,DEBIT,TXN000170
12/12/2026,FREELANCE CREDIT,0.0,16589.11,101737.31,CREDIT,TXN000171
14/12/2026,RENT PAYMENT,20616.22,0.0,81121.09,DEBIT,TXN000172
17/12/2026,INTERNET BILL PAYMENT,1557.22,0.0,79563.87,DEBIT,TXN000173
21/12/2026,SALARY CREDIT,0.0,84034.48,163598.35,CREDIT,TXN000174
22/12/2026,REFUND CREDIT,0.0,2084.34,165682.69,CREDIT,TXN000175
24/12/2026,METRO CARD RECHARGE,442.02,0.0,165240.67,DEBIT,TXN000176
25/12/2026,RENT PAYMENT,20231.28,0.0,145009.39,DEBIT,TXN000177
26/12/2026,INTERNET BILL PAYMENT,1788.84,0.0,143220.55,DEBIT,TXN000178
29/12/2026,MOBILE BILL PAYMENT,879.93,0.0,142340.62,DEBIT,TXN000179
31/12/2026,REFUND CREDIT,0.0,1722.21,144062.83,CREDIT,TXN000180
