date,description,debit,credit,balance,transaction_type,reference
07/07/2025,FUEL PAYMENT,2842.52,0.0,85458.6,DEBIT,TXN000095
08/07/2025,INTEREST CREDIT,0.0,264.8,85723.4,CREDIT,TXN000096
11/07/2025,REFUND CREDIT,0.0,2690.56,88413.96,CREDIT,TXN000097
16/07/2025,REFUND CREDIT,0.0,1149.3,89563.26,CREDIT,TXN000098
17/07/2025,RENT PAYMENT,20975.23,0.0,68588.03,DEBIT,TXN000099
20/07/2025,CASHBACK CREDIT,0.0,130.02,68718.05,CREDIT,TXN000100
22/07/2025,MOBILE BILL PAYMENT,470.03,0.0,68248.02,DEBIT,TXN000101
23/07/2025,FUEL PAYMENT,1041.37,0.0,67206.65,DEBIT,TXN000102
24/07/2025,UPI RESTAURANT DINNER,558.09,0.0,66648.56,DEBIT,TXN000103
27/07/2025,METRO CARD RECHARGE,645.92,0.0,66002.64,DEBIT,TXN000104
30/07/2025,UPI GROCERY BIGBASKET,3176.22,0.0,62826.42,DEBIT,TXN000105
01/08/2025,SALARY CREDIT,0.0,63625.37,87144.37,CREDIT,TXN000106
03/08/2025,FREELANCE CREDIT,0.0,19427.38,106571.75,CREDIT,TXN000107
04/08/2025,INTERNET BILL PAYMENT,641.76,0.0,105929.99,DEBIT,TXN000108
07/08/2025,PHARMACY MEDICAL,1508.07,0.0,104421.92,DEBIT,TXN000109
10/08/2025,AMAZON SHOPPING ORDER,513.55,0.0,103908.37,DEBIT,TXN000110
13/08/2025,INTERNET BILL PAYMENT,1738.59,0.0,102169.78,DEBIT,TXN000111
14/08/2025,PHARMACY MEDICAL,399.93,0.0,101769.85,DEBIT,TXN000112
15/08/2025,ELECTRICITY BILL PAYMENT,2155.28,0.0,99614.57,DEBIT,TXN000113
18/08/2025,UBER RIDE,696.31,0.0,98918.26,DEBIT,TXN000114
21/08/2025,UPI GROCERY BIGBASKET,2546.85,0.0,96371.41,DEBIT,TXN000115
22/08/2025,NETFLIX SUBSCRIPTION,269.66,0.0,96101.75,DEBIT,TXN000116
25/08/2025,REFUND CREDIT,0.0,800.8,96902.55,CREDIT,TXN000117
29/08/2025,RENT PAYMENT,25164.79,0.0,71737.76,DEBIT,TXN000118
30/08/2025,UPI RESTAURANT DINNER,633.23,0.0,71104.53,DEBIT,TXN000119
31/08/2025,UPI GROCERY BIGBASKET,3865.64,0.0,67238.89,DEBIT,TXN000120
01/09/2025,SALARY CREDIT,0.0,77928.82,104513.82,CREDIT,TXN000121
04/09/2025,UPI RESTAURANT DINNER,1779.93,0.0,102733.89,DEBIT,TXN000122
07/09/2025,FREELANCE CREDIT,0.0,18436.34,121170.23,CREDIT,TXN000123
11/09/2025,NETFLIX SUBSCRIPTION,542.37,0.0,120627.86,DEBIT,TXN000124
12/09/2025,NETFLIX SUBSCRIPTION,276.86,0.0,120351.0,DEBIT,TXN000125
13/09/2025,SALARY CREDIT,0.0,61608.79,181959.79,CREDIT,TXN000126
19/09/2025,REFUND CREDIT,0.0,1671.95,183631.74,CREDIT,TXN000127
21/09/2025,CASHBACK CREDIT,0.0,72.13,183703.87,CREDIT,TXN000128
22/09/2025,SALARY CREDIT,0.0,67798.88,251502.75,CREDIT,TXN000129
23/09/2025,ELECTRICITY BILL PAYMENT,1508.0,0.0,249994.75,DEBIT,TXN000130
24/09/2025,CASHBACK CREDIT,0.0,241.94,250236.69,CREDIT,TXN000131
26/09/2025,UPI GROCERY BIGBASKET,2327.64,0.0,247909.05,DEBIT,TXN000132
27/09/2025,SALARY CREDIT,0.0,84581.2,332490.25,CREDIT,TXN000133
29/09/2025,METRO CARD RECHARGE,364.66,0.0,332125.59,DEBIT,TXN000134
30/09/2025,RENT PAYMENT,18254.7,0.0,313870.89,DEBIT,TXN000135
01/10/2025,SALARY CREDIT,0.0,75268.07,104271.07,CREDIT,TXN000136
04/10/2025,AMAZON SHOPPING ORDER,5105.12,0.0,99165.95,DEBIT,TXN000137
06/10/2025,ATM CASH WITHDRAWAL,4122.4,0.0,95043.55,DEBIT,TXN000138
08/10/2025,INTEREST CREDIT,0.0,566.54,95610.09,CREDIT,TXN000139
10/10/2025,FUEL PAYMENT,3091.34,0.0,92518.75,DEBIT,TXN000140
11/10/2025,ATM CASH WITHDRAWAL,4855.11,0.0,87663.64,DEBIT,TXN000141
18/10/2025,UBER RIDE,580.18,0.0,87083.46,DEBIT,TXN000142
19/10/2025,ATM CASH WITHDRAWAL,1151.43,0.0,85932.03,DEBIT,TXN000143
21/10/2025,CASHBACK CREDIT,0.0,136.9,86068.93,CREDIT,TXN000144
22/10/2025,REFUND CREDIT,0.0,885.66,86954.59,CREDIT,TXN000145
26/10/2025,REFUND CREDIT,0.0,1032.81,87987.4,CREDIT,TXN000146
27/10/2025,UPI SWIGGY FOOD,327.49,0.0,87659.91,DEBIT,TXN000147
29/10/2025,INTERNET BILL PAYMENT,844.83,0.0,86815.08,DEBIT,TXN000148
30/10/2025,ELECTRICITY BILL PAYMENT,3267.56,0.0,83547.52,DEBIT,TXN000149
31/10/2025,FUEL PAYMENT,1536.11,0.0,82011.41,DEBIT,TXN000150
01/11/2025,SALARY CREDIT,0.0,55399.92,80464.92,CREDIT,TXN000151
03/11/2025,MOBILE BILL PAYMENT,1176.75,0.0,79288.17,DEBIT,TXN000152
05/11/2025,FUEL PAYMENT,3206.93,0.0,76081.24,DEBIT,TXN000153
06/11/2025,CASHBACK CREDIT,0.0,266.34,76347.58,CREDIT,TXN000154
09/11/2025,UPI GROCERY BIGBASKET,2544.28,0.0,73803.3,DEBIT,TXN000155
10/11/2025,INTERNET BILL PAYMENT,1654.89,0.0,72148.41,DEBIT,TXN000156
12/11/2025,UPI RESTAURANT DINNER,1726.06,0.0,70422.35,DEBIT,TXN000157
13/11/2025,UBER RIDE,249.09,0.0,70173.26,DEBIT,TXN000158
16/11/2025,UPI SWIGGY FOOD,411.32,0.0,69761.94,DEBIT,TXN000159
18/11/2025,FUEL PAYMENT,2462.78,0.0,67299.16,DEBIT,TXN000160
19/11/2025,NETFLIX SUBSCRIPTION,203.91,0.0,67095.25,DEBIT,TXN000161
23/11/2025,UPI GROCERY BIGBASKET,3812.1,0.0,63283.15,DEBIT,TXN000162
24/11/2025,REFUND CREDIT,0.0,1224.62,64507.77,CREDIT,TXN000163
25/11/2025,AMAZON SHOPPING ORDER,3187.18,0.0,61320.59,DEBIT,TXN000164
27/11/2025,METRO CARD RECHARGE,273.53,0.0,61047.06,DEBIT,TXN000165
01/12/2025,SALARY CREDIT,0.0,63709.21,92232.21,CREDIT,TXN000166
05/12/2025,FREELANCE CREDIT,0.0,15241.87,107474.08,CREDIT,TXN000167
06/12/2025,UPI SWIGGY FOOD,250.81,0.0,107223.27,DEBIT,TXN000168
10/12/2025,ELECTRICITY BILL PAYMENT,3129.52,0.0,104093.75,DEBIT,TXN000169
12/12/2025,UPI GROCERY BIGBASKET,2900.66,0.0,101193.09,DEBIT,TXN000170
13/12/2025,ELECTRICITY BILL PAYMENT,3435.28,0.0,97757.81,DEBIT,TXN000171
14/12/2025,MOBILE BILL PAYMENT,1290.55,0.0,96467.26,DEBIT,TXN000172
19/12/2025,INTEREST CREDIT,0.0,434.67,96901.93,CREDIT,TXN000173
21/12/2025,NETFLIX SUBSCRIPTION,518.4,0.0,96383.53,DEBIT,TXN000174
23/12/2025,METRO CARD RECHARGE,674.89,0.0,95708.64,DEBIT,TXN000175
25/12/2025,ELECTRICITY BILL PAYMENT,2817.14,0.0,92891.5,DEBIT,TXN000176
26/12/2025,CASHBACK CREDIT,0.0,142.3,93033.8,CREDIT,TXN000177
28/12/2025,SALARY CREDIT,0.0,74264.02,167297.82,CREDIT,TXN000178
29/12/2025,ATM CASH WITHDRAWAL,4914.52,0.0,162383.3,DEBIT,TXN000179
31/12/2025,CASHBACK CREDIT,0.0,118.26,162501.56,CREDIT,TXN000180
